element,element_id,molar_volume,electron_density,electronegativity,valence_electrons,a_const,R_const,H_trans,compressibility,shear_modulus,melting_point,structural_stability
H,1,1.7,3.38,5.2,1,0.14,0,100,0,0,14.025,0
Li,3,13,0.94,2.85,1,0.14,0,0,11.58,4.228,453.7,0
Be,4,4.9,4.66,5.05,2,0.1,0.4,0,100.4,143.2,1560,0
B,5,4.7,5.36,5.3,13,0.07,1.9,30,178.5,203.1,2300,0
C,6,3.2631,5.5452,6.24,14,0.04,2.1,180,545.4,451.3,4100,0
N,7,4.1,4.49,6.86,15,0.04,2.3,310,0,0,63.14,0
Na,11,23.78,0.55,2.7,1,0.14,0,0,6.817,3.434,371,0
Mg,12,14,1.6,3.45,2,0.1,0.4,0,35.44,17.36,922,0
Al,13,10,2.7,4.2,13,0.07,1.9,0,72.18,26.59,933.25,0
Si,14,8.6,3.38,4.7,14,0.04,2.1,34,98.88,39.73,1685,0
P,15,8.6,4.49,5.55,15,0.04,2.3,17,19.19,7.161,317.3,0
K,19,45.63,0.27,2.25,1,0.14,0,0,3.178,1.275,336.35,0
Ca,20,26.2,0.75,2.55,2,0.1,0.4,0,15.21,7.358,1112,0
Sc,21,15.03,2.05,3.25,3,0.07,0.7,0,57.29,31.29,1812,-2.5
Ti,22,10.58,3.51,3.8,4,0.04,1,0,105.2,39.34,1943,-2.5
V,23,8.36,4.41,4.25,5,0.04,1,0,162,46.5,2175,-9.5
Cr,24,7.23,5.18,4.65,6,0.04,1,0,190.3,116.7,2130,-12
Mn,25,7.35,4.17,4.45,7,0.04,1,0,59.67,76.52,1517,4
Fe,26,7.09,5.55,4.93,8,0.04,1,0,168.3,81.52,1809,10
Co,27,6.7,5.36,5.1,9,0.04,1,0,191.5,76.42,1768,-8
Ni,28,6.6,5.36,5.2,10,0.04,1,0,186.4,75.05,1726,-2
Cu,29,7.12,3.18,4.45,11,0.07,0.3,0,131,45.13,1357.6,1.5
Zn,30,9.17,2.3,4.1,12,0.1,1.4,0,59.85,37.18,692.73,0
Ga,31,11.82,2.25,4.1,13,0.07,1.9,0,56.9,37.47,302.9,0
Ge,32,9.87,2.57,4.55,14,0.04,2.1,25,77.24,39.24,1210.4,0
As,33,11.85,3,4.8,15,0.04,2.3,0,39.42,14.62,1081,0
Rb,37,56.07,0.22,2.1,1,0.14,0,0,3.145,1.001,312.64,0
Sr,38,33.93,0.59,2.4,2,0.1,0.4,0,11.62,5.229,1041,0
Y,39,19.9,1.77,3.2,3,0.07,0.7,0,36.62,25.8,1799,-2.5
Zr,40,14,2.8,3.45,4,0.04,1,0,83.335,34.14,2125,-2.5
Nb,41,10.87,4.41,4.05,5,0.04,1,0,170.3,37.47,2740,-9.5
Mo,42,9.4,5.55,4.65,6,0.04,1,0,272.6,115.8,2890,-12
Tc,43,8.64,5.93,5.3,7,0.04,1,0,297.2,142.2,2473,-5
Ru,44,8.2,6.13,5.4,8,0.04,1,0,320.9,159.9,2523,-10.5
Rh,45,8.3,5.45,5.4,9,0.04,1,0,270.6,147.2,2236,-9
Pd,46,8.9,4.66,5.45,10,0.04,1,0,180.9,51.11,1825,-2
Ag,47,10.25,2.52,4.35,11,0.07,0.3,0,100.7,28.65,1234,1.5
Cd,48,13,1.91,4.05,12,0.1,1.4,0,46.75,24.13,594.18,0
In,49,15.75,1.6,3.9,13,0.07,1.9,0,41.09,3.728,429.76,0
Sn,50,16.3,1.9,4.15,14,0.04,2.1,0,110.9,18.44,505.06,0
Sb,51,16.95,2,4.4,15,0.04,2.3,0,38.29,20.01,904,0
Cs,55,69.23,0.17,1.95,1,0.14,0,0,2.03,0.647,301.55,0
Ba,56,38.1,0.53,2.32,2,0.1,0.4,0,10.3,4.905,1002,0
La,57,22.55,1.64,3.17,3,0.07,0.7,0,24.3,14.91,1193,-2.5
Ce,58,21.62,1.69,3.18,3,0.07,0.7,0,23.95,11.97,1071,-2
Pr,59,20.79,1.73,3.19,3,0.07,0.7,0,30.58,13.54,1204,-2.5
Nd,60,20.58,1.73,3.19,3,0.07,0.7,0,32.68,14.52,1289,-2.5
Pm,61,20.25,1.77,3.19,3,0.07,0.7,0,35.32,16.68,1204,-2.5
Sm,62,20.01,1.77,3.2,3,0.07,0.7,0,29.41,12.65,1345,0
Eu,63,28.95,0.68,2.5,3,0.1,0.7,0,14.72,5.886,1090,2.2
Gd,64,19.9,1.77,3.2,3,0.07,0.7,0,38.34,22.27,1585,-2.5
Tb,65,19.32,1.82,3.21,3,0.07,0.7,0,39.93,22.86,1630,-2.5
Dy,66,19,1.82,3.21,3,0.07,0.7,0,38.44,25.41,1682,-2.5
Ho,67,18.76,1.82,3.22,3,0.07,0.7,0,39.68,26.68,1743,-2.5
Er,68,18.45,1.86,3.22,3,0.07,0.7,0,41.08,29.63,1795,-2.5
Tm,69,18.12,1.86,3.22,3,0.07,0.7,0,39.7,30.41,1818,-2.5
Yb,70,24.87,0.78,2.58,3,0.1,0.7,0,13.27,6.965,1097,-2
Lu,71,17.77,1.91,3.22,3,0.07,0.7,0,41.13,33.84,1936,-2.5
Hf,72,13.45,3.05,3.6,4,0.04,1,0,108.9,52.97,2500,-2.5
Ta,73,10.81,4.33,4.05,5,0.04,1,0,200.1,68.67,3287,-9.5
W,74,9.55,5.93,4.8,6,0.04,1,0,323.3,153,3680,-12
Re,75,8.85,6.33,5.2,7,0.04,1,0,371.8,178.5,3453,-5
Os,76,8.45,6.33,5.4,8,0.04,1,0,417.9,209.9,3300,-10.5
Ir,77,8.52,6.13,5.55,9,0.04,1,0,355.1,209.9,2716,-9
Pt,78,9.1,5.64,5.65,10,0.04,1,0,278.4,61.02,2045,-2
Au,79,10.2,3.87,5.15,11,0.07,0.3,0,173.2,27.57,1337.58,1.5
Hg,80,14.08,1.91,4.2,12,0.1,1.4,0,28.25,10.01,234.28,0
Tl,81,17.23,1.4,3.9,13,0.07,1.9,0,35.93,2.747,577,0
Pb,82,18.28,1.52,4.1,14,0.04,2.1,0,42.99,5.396,600.6,0
Bi,83,19.32,1.56,4.15,15,0.04,2.3,0,31.48,12.85,544.52,0
Th,90,19.8,2.1,3.3,3,0.04,0.7,0,54.29,27.86,2028,2.2
U,92,13.15,3.44,3.9,3,0.04,1,0,98.79,73.58,1405,0
Pu,94,12.06,2.99,3.8,3,0.04,1,0,53.56,43.75,913,0
