ENTRY,AEL VRH bulk modulus,atomic formation enthalpy,space group,Pearson symbol,DATA
Al1As1 [d1acbf7cd6bbd917],67.4056,-0.487735,216 - F43m,cF8,"[API, Out, JSON ]"
Al1B1Be1 [7b87669d29858aed],140.778,-2.28262,216 - F43m,cF12,"[API, Out, JSON ]"
Al1Ba1Ge1 [e5990f43d042239c],44.3828,-0.471822,187 - P6m2,hP3,"[API, Out, JSON ]"
Al1Ba1Si1 [0655bb1b738565e8],49.0752,-0.383687,187 - P6m2,hP3,"[API, Out, JSON ]"
Al1Bi1 [786c95a74595dac5],37.8444,0.0596695,216 - F43m,cF8,"[API, Out, JSON ]"
Al1Bi1O3 [d43abd3deaeccc51],189.289,-2.28122,221 - Pm3m,cP5,"[API, Out, JSON ]"
Al1C1Ho3 [3ecce9ff5402ec86],81.2167,-0.418804,221 - Pm3m,cP5,"[API, Out, JSON ]"
Al1C1Y3 [a873c04ce401162f],80.6944,-0.424842,221 - Pm3m,cP5,"[API, Out, JSON ]"
Al1Ca1Si1 [a2be57f97c3c3734],57.0844,-0.386889,187 - P6m2,hP3,"[API, Out, JSON ]"
Al1Ge1Li1 [a16cd7474b3ebbab],59.0611,-0.29811,216 - F43m,cF12,"[API, Out, JSON ]"
Al1Ge1Sr1 [f573f77ca303f0e2],46.2798,-0.471713,187 - P6m2,hP3,"[API, Out, JSON ]"
Al1Li1Si1 [c854f04be2146c1c],62.9167,-0.2193,216 - F43m,cF12,"[API, Out, JSON ]"
Al1P1 [bfe6fc7189a9a3a8],82.8556,-0.654625,216 - F43m,cF8,"[API, Out, JSON ]"
Al1Sb1 [8efc0f655f5d4309],49.4333,-0.282088,216 - F43m,cF8,"[API, Out, JSON ]"
Al1Si1Sr1 [8023faf5b757d0b6],52.0558,-0.398685,187 - P6m2,hP3,"[API, Out, JSON ]"
Al1Y1 [53bc333b72a0cbd5],62.5167,-0.417352,221 - Pm3m,cP2,"[API, Out, JSON ]"
Al1Y3 [5baa20a85d1739d4],51.4167,-0.187764,221 - Pm3m,cP4,"[API, Out, JSON ]"
Al1Zr3 [d5adc38fa8b953cf],101.603,-0.300465,221 - Pm3m,cP4,"[API, Out, JSON ]"
