formula,target,enthalpy
Al1As1,67.4056,-0.48773500000000003
Al1B1Be1,140.778,-2.28262
Al1Ba1Ge1,44.3828,-0.471822
Al1Ba1Si1,49.0752,-0.383687
Al1Bi1,37.8444,0.05966950000000001
Al1Bi1O3,189.28900000000002,-2.2812200000000002
Al1C1Ho3,81.2167,-0.418804
Al1C1Y3,80.6944,-0.424842
Al1Ca1Si1,57.0844,-0.386889
Al1Ge1Li1,59.0611,-0.29811
Al1Ge1Sr1,46.2798,-0.471713
Al1Li1Si1,62.9167,-0.2193
Al1P1,82.8556,-0.654625
Al1Sb1,49.4333,-0.282088
Al1Si1Sr1,52.0558,-0.398685
Al1Y1,62.5167,-0.41735200000000006
Al1Y3,51.4167,-0.18776400000000001
Al1Zr3,101.603,-0.300465
Al2As2,66.7646,-0.481926
Al2Ba1Si2,42.4195,-0.287542
Al2C2Zr4,123.92299999999999,-0.650021
Al2Ge2Y2,81.5208,-0.667238
Al2Hf2,117.73100000000001,-0.402046
Al2Hf4,112.19200000000001,-0.264596
Al2Hg1Te4,25.3311,-0.382112
Al2K2O4,92.1278,-2.73062
Al2K2Te4,18.1246,-0.7888109999999999
Al2Li10O8,80.2061,-2.39711
Al2Li2,47.0667,-0.183254
Al2Li2Te4,27.9597,-0.715579
Al2O4Rb2,91.7111,-2.7438
Al2O6Y2,168.25099999999998,-3.4914699999999996
Al2O8P2,121.645,-2.96155
Al2P2,82.7112,-0.650623
Al2Se4Tl2,26.9027,-0.749202
Al2Si2Y2,87.846,-0.633736
Al2Y2,59.9133,-0.419476
Al2Zr2,107.029,-0.470629
Al2Zr4,101.10589999999999,-0.34038199999999996
Al3Hf1,107.185,-0.386304
Al3Hf4,115.99,-0.390498
Al3Ho1,75.1,-0.421792
Al3Li1,65.2889,-0.100048
Al3Mg3Y3,57.4472,-0.335064
Al3Y1,74.8833,-0.422253
Al3Zr1,101.6,-0.45961899999999994
Al3Zr4,107.561,-0.460229
Al4Ba1,50.9005,-0.237546
Al4Ba2,42.3722,-0.197602
Al4Ca12Sb12,37.8383,-0.94058
Al4Ca2,56.3278,-0.329725
Al4Hg2Se8,62.1833,-0.654525
Al4Ho2,80.4667,-0.5184439999999999
Al4Ho8,57.4884,-0.300736
Al4Li4,36.9949,-0.09776010000000002
Al4Li4O8,92.3859,-2.96182
Al4Mg2O8,189.5915,-3.18214
Al4O10Si2,215.252,-3.1137799999999998
Al4O12Y4,190.64700000000002,-3.5752900000000003
Al4O8Pb2,66.9038,-2.75577
Al4Se8Sr2,30.0517,-1.27407
Al4Sr2,48.0667,-0.256035
Al4Y2,80.2778,-0.534161
Al4Y8,52.9926,-0.316525
Al5Ca5Si5,55.4562,-0.388984
Al6C2Zr10,105.679,-0.508528
Al6C6Ho2,159.593,-0.308994
Al6C6Y2,157.31799999999998,-0.29285300000000003
Al6C8Hf4,196.517,-0.49719300000000005
Al6C8Zr4,188.68,-0.459016
Al6Ca6Si6,56.7437,-0.387291
Al6Hf2,106.07,-0.396345
Al6Zr2,103.822,-0.487699
Al8Ba4Ge8,52.2293,-0.398701
Al8Ba4Si8,57.2479,-0.296768
Al8C2O8,129.172,-2.48822
Al8C8Si2,156.225,0.104128
Al8Hf12,115.99700000000001,-0.329863
Al8Hf4,119.26799999999999,-0.44342200000000004
Al8Ho12,60.4354,-0.333131
Al8Mg4,57.7423,0.00166783
Al8O12,230.69799999999998,-3.18738
Al8O20Si4,144.014,-3.22222
Al8Sb8,48.7593,-0.167728
Al8Y12,58.1696,-0.358132
Al8Zr10,101.079,-0.41895
Al8Zr12,104.28,-0.40178600000000003
Al8Zr4,112.82350000000001,-0.5400995
As1,84.6111,0.111626
As16Mg24,49.2439,-0.632015
As16Mg4,43.8761,-0.23080900000000001
As1B1,132.02200000000002,-3.36665
As1B2P1,146.702,-3.5651900000000003
As1Ba1Li1,34.2294,-0.944981
As1Br3Ca3,34.4278,-1.8097299999999998
